couverture;titre;complement;domaine;langue;auteur;editeur;annee;support;hauteur;largeur;epaisseur;prix
book_001;Java 1.4 et 5.0;les Cahiers du Programmeur;programmation Java;Français;Emmanuel Puybaret;Eyrolles;2008;CD;24;21;2,1;29,00 €
book_002;Javascript;Le guide du programmeur;programmation web;Français;Nigel McFarlane;Eyrolles;1999;;23;17;205;?
book_003;Flash MX;Un maître de la programmation ActionScript dévoile enfin ses meilleures recettes;programmation web;Français;Robert Penner;First Interactive;2002;;25,5;17,5;2,5;34,90 €
book_004;Administration des Réseaux;;systèmes et réseaux;Français;Frédéric Jacquenod;Campus Press;2002;;23;19;2;38,00 €
book_005;Debian GNU/Linux;Cahiers de l'Admin;systèmes et réseaux;Français;Raphaël Hertzog;Eyrolles;2005;;24;21;2;32,00 €
book_006;Flash 5 et ActionScript;;programmation web;Français;Nicolas Sancy;Eyrolles;2001;;24;20;3,5;37,81 €
book_007;Javascript;Le dictionnaire;programmation web;Français;Marcos Kreinacke - André Spallek - Christian Schlange;Micro Application;2000;;13,5;19;3;125,40 F
book_008;PHP/MySQL avec Dreamweaver MX;;programmation web;Français;Jean-Marie Defrance;Eyrolles;2004;;15;20;3;
book_009;PHP 4 et MySQL en ligne;L'essentiel pour concevoir un site web dynamique;programmation web;Français;Cyril Nocton;Micro Application;2001;;19;12,5;2;9,45 €
book_010;Java!;;programmation Java;Anglais;Tim Ritchey;New Riders;1995;;23;18,5;2,5;32,99 £
book_011;Flash MX 2004 Advanced;Visual QuickPro Guide;programmation web;Anglais;Russel Chun – Joe Garraffo;Peachpit Press;2004;CD;23;18;3;33,70 €
book_012;3DStudio Max 2.5;De l'initiation à la maîtrise;graphisme 3D;Français;Bernard Jolivalt;Campus Press – MacMillan;1999;;18,5;11,5;2,5;62,00 F
book_013;Lingo;Démarrer et comprendre tout en pratique;programmation multimedia;Français;Tab Julius;MacMillan;1997;;18,5;14;2,5;99,00 F
book_014;WAP;ePocket Book;programmation web;Français;Christian Germain – Jean Marc Herellier – Philippe Mérigot;Campus Press;2000;;18,5;11,5;1,5;8,99 €
book_015;JavaScript 1.3;De l'initiation à la maîtrise;programmation web;Français;Michael Moncur;Campus Press – MacMillan;1999;;18,5;11,5;3;9,91 €
book_016;Unix;Le grand livre;systèmes et réseaux;Français;Michael Wielsch;Micro Application;1995;CD;24,5;17,5;5,5;295,00 F
book_017;3DStudio Max 2.5;Le MacMillan édition 1999;graphisme 3D;Français;Steven Elliott – Phillip Miller;Campus Press;1999;CD;24;19,5;6,5;299,00 F
book_018;XML étape par étape;Manuel de formation;programmation web;Français;Michael J. Young;Microsoft Press;2001;CD;23,5;19;3;22,71 €
book_019;PHP 4;Programmation;programmation web;Français;Leon Atkinson;Campus Press;2000;CD;23;19;4,5;34,91 €
book_020;CGI/Perl et JavaScript;Création de pages HTML intéractives;programmation web;Français;Isaac Cohen;Eyrolles;1996;disquette;23;17;2;?
book_021;WAP;Construire une application;programmation web;Français;Letourmy – Papiernik – Hélaïli – Martzel;Eyrolles;2000;;23;19;2;36,06 €
book_022;ArchiCad 5.0;Guide de référence;architecture;Français;Graphisoft;Antal Bayer;1996;;22,5;18,5;2;?
book_023;Director 6;Le guide pratique des professionnels du multimédia;programmation multimedia;Français;Gary Ronsenzweig;Vuibert;1998;;24;17;2,5;?
book_024;Javascript;Programmation;programmation web;Français;Cyrille Lecomte – Thomas Leduc;Eyrolles;1996;CD;23;17;2;?
book_025;SQL Server 7.0;Kit de formation;systèmes et réseaux;Français;?;Microsoft Press;1999;CD;23,5;18,5;5;45,58 €
book_026;Find;catalogue;graphisme;Français;?;PhotoDisc;2001;CD;23;16,5;2;?
book_027;Accelerator;catalogue;graphisme;Français;?;PhotoDisc;2001;CD;23;16,5;2;?
book_028;Juxtapose;catalogue;graphisme;Français;?;PhotoDisc;2001;CD;23;16,5;2;?
book_029;Momentum;catalogue;graphisme;Français;?;PhotoDisc;2001;CD;23;16,5;2;?
book_030;Partenaire Web n°2;catalogue;graphisme;Français;?;Getty Images;2002;;28;18,5;0,5;
book_031;PhotoIndex #3;catalogue;graphisme;Français;?;FontShop;1999;;29,5;15;1;25,00 F
book_032;Partenaire Web n°1;catalogue;graphisme;Français;?;Getty Images;2002;;28;18,5;0,5;5,00 €
book_033;Photodisc;catalogue;graphisme;Français;?;Getty Images;?;;28;18,5;0,5;?
book_034;Fusion;catalogue;graphisme;Français;?;FontShop;?;;30;23;2;?
book_035;Vie;catalogue;graphisme;Français;?;Getty Images;?;CD;30;23;2;?
book_036;Section;catalogue;graphisme;Français;?;PhotoDisc;?;CD;28;21,5;1,5;?
book_037;Photodisc;catalogue;graphisme;Français;?;PhotoDisc;?;CD;28;21,5;2;?
